X_a_1,X_a_2
0.14304,0.09230
0.50226,0.63141
0.33207,0.68399
0.70727,0.73617
0.18500,0.87961
0.76570,0.04341
0.33688,0.23758
0.39283,0.53621
0.13074,0.82737
0.48659,0.85261
0.59637,0.65160
0.62690,0.17575
0.78221,0.52778
0.60322,0.50232
0.74443,0.95064
0.97917,0.54588
0.32979,0.23730
0.21738,0.65988
0.83914,0.43464
0.30736,0.78887
0.60620,0.51455
0.59903,0.46825
0.17110,0.32558
0.92525,0.18429
0.15261,0.00413
0.77458,0.25650
0.70006,0.71394
0.28239,0.30143
0.31853,0.05360
0.27014,0.43525
0.27085,0.79044
0.96808,0.56306
0.44534,0.12371
0.94309,0.38608
0.65664,0.78173
0.92031,0.00267
0.61479,0.04222
0.68253,0.05347
0.31377,0.66151
0.82677,0.06448
0.31729,0.15286
0.31679,0.76818
0.13665,0.36092
0.46401,0.10646
0.83781,0.47178
0.84389,0.34653
0.59616,0.56264
0.80346,0.87231
0.00518,0.01180
0.05107,0.61266
0.62934,0.77080
0.69865,0.33699
0.53519,0.29487
0.30577,0.81347
0.10205,0.13847
0.27315,0.65235
0.93368,0.39648
0.34125,0.70200
0.53284,0.07672
0.70409,0.89691
0.06745,0.16973
0.12109,0.04704
0.77320,0.90282
0.78955,0.62927
0.31765,0.60713
0.64410,0.04737
0.08547,0.51621
0.41852,0.96965
0.73773,0.37946
0.71911,0.50066
0.24538,0.72966
0.55140,0.70105
0.65031,0.51546
0.76202,0.01395
0.44945,0.37919
0.44925,0.49847
0.22367,0.22929
0.23388,0.81876
0.27073,0.71695
0.59074,0.24066
0.35472,0.78373
0.06458,0.46489
0.53658,0.05744
0.36218,0.25245
0.80965,0.90481
0.10897,0.75497
0.18515,0.76529
0.61502,0.36696
0.91754,0.38155
0.52907,0.02843
0.08017,0.44353
0.48851,0.25095
0.43261,0.54856
0.45256,0.16715
0.39475,0.58024
0.16559,0.55883
0.22033,0.84699
0.03619,0.01238
0.51771,0.99896
0.15005,0.70026
0.02263,0.85320
0.03107,0.84404
0.95509,0.75344
0.49203,0.30255
0.35609,0.08061
0.66076,0.70102
0.41563,0.41682
0.05285,0.36398
0.84980,0.25316
0.94616,0.95209
0.40226,0.88034
0.85237,0.17611
0.25542,0.03875
0.33041,0.04945
0.24853,0.58861
0.64461,0.82211
0.22327,0.71087
0.37387,0.96766
0.50184,0.19281
0.37402,0.57914
0.60126,0.66771
0.14874,0.15398
0.73025,0.08157
0.39745,0.75770
0.93351,0.09661
0.89172,0.63167
0.19834,0.69758
0.29327,0.36825
0.24516,0.78411
0.85544,0.35007
0.76699,0.43315
0.49941,0.54573
0.84714,0.46887
0.06095,0.85339
0.31532,0.01695
0.97797,0.69643
0.27281,0.65874
0.58538,0.96425
0.73519,0.25394
0.51058,0.13038
0.29246,0.24386
0.03796,0.14622
0.91779,0.90928
0.07985,0.71791
0.62158,0.77506
0.08522,0.39732
0.04828,0.05365
0.01153,0.39875
0.29144,0.83316
0.33298,0.44265
0.63192,0.46827
0.86749,0.55257
0.69503,0.01108
0.83565,0.94826
0.67616,0.32759
0.29023,0.88089
0.97015,0.77479
0.65565,0.59116
0.00047,0.66996
0.60022,0.26519
0.37416,0.34033
0.56341,0.45035
0.15978,0.83015
0.09794,0.27666
0.30613,0.45105
0.32250,0.65263
0.61541,0.09796
0.98831,0.71034
0.02338,0.87892
0.53231,0.36909
0.30529,0.64211
0.65021,0.53404
0.03855,0.17832
0.92742,0.37333
0.49042,0.32529
0.60374,0.28559
0.10072,0.15906
0.50919,0.37664
0.36514,0.28940
0.10600,0.17981
0.24349,0.63748
0.14852,0.31694
0.56531,0.19330
0.19879,0.82329
0.13224,0.40129
0.48296,0.19177
0.80493,0.55561
0.93720,0.93348
0.40324,0.59267
