X_e_1,X_e_2,X_e_3
0.21359,0.18335,0.63268
0.76666,0.42661,0.73302
0.54540,0.67799,0.26395
0.92061,0.15772,0.08249
0.06681,0.87279,0.17320
0.05982,0.85896,0.93216
0.46903,0.36619,0.43744
0.50527,0.07657,0.36451
0.33978,0.41896,0.62883
0.57645,0.28619,0.69692
0.30109,0.87016,0.63176
0.05975,0.49716,0.54340
0.55301,0.83233,0.01779
0.13146,0.79033,0.93151
0.66607,0.79608,0.77860
0.30668,0.58959,0.05860
0.12021,0.21514,0.21914
0.07685,0.49842,0.14613
0.96154,0.14112,0.50036
0.50443,0.19197,0.08447
0.86398,0.74033,0.96853
0.38452,0.04183,0.58597
0.03271,0.99038,0.81290
0.56192,0.69293,0.24715
0.80693,0.79566,0.95472
0.93704,0.65463,0.83471
0.62309,0.00517,0.65471
0.93683,0.67835,0.86350
0.11128,0.96771,0.63416
0.32562,0.97881,0.70792
0.14471,0.80058,0.15794
0.65638,0.01169,0.30349
0.49609,0.11604,0.73534
0.55606,0.93830,0.92457
0.33350,0.05254,0.29473
0.06651,0.83562,0.05376
0.12737,0.41355,0.32747
0.94068,0.32141,0.14795
0.31460,0.39051,0.08864
0.70632,0.18981,0.46411
0.99158,0.92468,0.71268
0.60004,0.83203,0.87102
0.78804,0.13051,0.05047
0.39772,0.94665,0.43350
0.89796,0.78859,0.64447
0.70721,0.82776,0.80283
0.63142,0.13975,0.41377
0.31365,0.43931,0.54028
0.96510,0.92632,0.79054
0.41861,0.53540,0.59807
0.97240,0.98859,0.71892
0.93557,0.37901,0.53932
0.60708,0.55788,0.88814
0.82500,0.48494,0.04010
0.80458,0.27873,0.47404
0.70401,0.61075,0.49164
0.86603,0.42966,0.46880
0.34238,0.73606,0.52041
0.59111,0.29834,0.36936
0.31899,0.04078,0.67994
0.63539,0.14475,0.23297
0.62790,0.90054,0.35219
0.76805,0.91318,0.08472
0.74182,0.75881,0.40663
0.25637,0.22604,0.82090
0.34712,0.73382,0.01045
0.81308,0.85497,0.56600
0.94434,0.00784,0.59737
0.42400,0.05843,0.72409
0.35211,0.26044,0.99255
0.47646,0.24475,0.41809
0.83498,0.77516,0.55786
0.33488,0.88417,0.52991
0.08417,0.78003,0.88077
